"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1968117126016930165","Wed Sep 17 00:57:43 +0000 2025","7","Pengalaman Aktivasi NIK di CORETAX Status NPWP: Belum Aktif (SPDN) A thread ","1968117126016930165","","","in","","0","1","0","https://x.com/undefined/status/1968117126016930165","463569380",
"1967876186958098910","Wed Sep 17 00:57:32 +0000 2025","0","@worksfess kata gw juga worth it tau apalagi skrng khususnya lingkup keuangan (ini sangat membantu gw pas kmrn jadi jobseeker nilai plus bisa coretax). Dan masupnya ga setiap hari kok paling seminggu 2-3 kali menyesuaikan jadwal kalian sangat flexible. Bisa byk belajar dari senior di sana","1968117082136121845","","goodtoknowmeh","in","","0","1","0","https://x.com/undefined/status/1968117082136121845","1767411986802032641",
"1968116001066946898","Wed Sep 17 00:53:15 +0000 2025","0","kangen kpp kangen mamnya kangen orang orangnya yg pada baikkk bgt plis kangen dapet banyak temen baru kangen coretax yg suka bikin emosi itu kangen banyak dapet insight baru dari wp kangen rajin masuk demi menghindari skripshit","1968116001066946898","","","in","","0","0","0","https://x.com/undefined/status/1968116001066946898","1767411986802032641",
"1968113091486552362","Wed Sep 17 00:41:41 +0000 2025","0"," Pusat Informasi Coretax DJP #KawanPajak bingung soal Coretax? Jawaban atas pertanyaanmu bisa langsung ditemukan di https://t.co/doIu5IUzAO Daftar pertanyaan dan jawabannya akan terus diperbarui secara berkala. https://t.co/6yE7kd9c9R","1968113091486552362","https://pbs.twimg.com/media/G1Aka9gbIAAvfiO.jpg","","in","","0","1","0","https://x.com/undefined/status/1968113091486552362","701572781255872514",
"1967769963776852305","Tue Sep 16 20:32:04 +0000 2025","0","@zuhdeee @asyouwishweh @snobajoba @profesor_saham coretax yg sistemnya error itu? wkwkwk","1968050275186520389","","zuhdeee","in","","0","1","0","https://x.com/undefined/status/1968050275186520389","2323256935",
"1968012043740647561","Tue Sep 16 18:00:09 +0000 2025","0","eh emang individu kudu bikin akun coretax ya kukira itu buat employer shit","1968012043740647561","","","in","","0","0","0","https://x.com/undefined/status/1968012043740647561","1682601642607415296",
"1949631738252341725","Tue Sep 16 16:47:00 +0000 2025","0","@kumiskucing385 @jijirnyinyir Wkwkwk termasuk gw nih gegara coretax jadi sering 24 jam ","1967993634911142183","","kumiskucing385","in","","0","1","0","https://x.com/undefined/status/1967993634911142183","1631202548358221824",
"1967986485879280065","Tue Sep 16 16:18:36 +0000 2025","0","mysha be like KOLLLTEEKKK TELOSSS MAMAHH IIIII ya emg kerjaan mamahnya kan musuhan sm coretax","1967986485879280065","","","in","","0","1","0","https://x.com/undefined/status/1967986485879280065","1913782826119667712",
"1967876186958098910","Tue Sep 16 16:10:41 +0000 2025","0","@wannadeipil @worksfess kakkk aku rencana mau ikut tapi setelah inget sekarang pake coretax mundur lagi wkwkwk soalnya buat lapor SPT WPOP kemaren masih pake Djp onlen","1967984492980867496","","wannadeipil","in","","0","1","0","https://x.com/undefined/status/1967984492980867496","1913782826119667712",
"1967983371952525575","Tue Sep 16 16:06:13 +0000 2025","0","Siap siap menerima amukan kita soal coretax ya adik adikk ","1967983371952525575","","","in","","0","0","0","https://x.com/undefined/status/1967983371952525575","1131611841187045377",
"1967978406693441743","Tue Sep 16 15:46:30 +0000 2025","0","Tumben coretax dari bulan lalu kagak berulah.","1967978406693441743","","","in","","0","1","0","https://x.com/undefined/status/1967978406693441743","1300876682446815232",
"1967964486171758914","Tue Sep 16 14:51:11 +0000 2025","0","sebenernya gak peduli dng menkeu pengganti smi.. tapi smi emang udah seharusnya diganti. sejak dari kasus gayus sampe rafael alun coretax? bener2 gak kesentuh apa karena efek nangis2 ya? entahlah.. x))) Power tends to corrupt and absolute power corrupts absolutely. xD","1967964486171758914","","","in","","0","0","0","https://x.com/undefined/status/1967964486171758914","1841429813925666816",
"1967958115858751848","Tue Sep 16 14:25:52 +0000 2025","2","holisyit tahun ini gue ketemu coretax bangsat","1967958115858751848","","","in","","0","0","0","https://x.com/undefined/status/1967958115858751848","1104880404618633217",
"1967944801959219262","Tue Sep 16 14:01:22 +0000 2025","0","@zetsupth Mending kita usaha ternak kelomang aja mang dari pada terlibat dalam coretax ","1967951951339110911","","zetsupth","in","","0","2","0","https://x.com/undefined/status/1967951951339110911","1631202548358221824",
"1967939023978316105","Tue Sep 16 13:10:00 +0000 2025","0","Kasus Coretax Era Menkeu Sri Mulyani Masih Mangkrak di KPK 7 Bulan Sejak Dilaporkan https://t.co/cB0QNP4vd2","1967939023978316105","","","in","","0","0","0","https://x.com/undefined/status/1967939023978316105","853782937782714368",
"1967733256968867980","Tue Sep 16 13:06:08 +0000 2025","0","@DipoNiarto ttttapi kan bukan org kemenkeu aja lg consulting pec delloitte pun tim developer coretax loh","1967938051562467478","","DipoNiarto","in","","0","1","0","https://x.com/undefined/status/1967938051562467478","1667566062966284288",
"1967936698857427451","Tue Sep 16 13:00:46 +0000 2025","0","Coretax mending ganti nama jadi coretai. Udh mau setaun masih busuk","1967936698857427451","","","in","","0","0","0","https://x.com/undefined/status/1967936698857427451","155447723",
"1967916925503324573","Tue Sep 16 11:42:11 +0000 2025","0","gua bikin npwp di coretax seharian ga kelar2 masih stuck di step dua krn nungguin verification kode email. Sampai pulsa gw abis krn ngulang trs dan tetep ga bisa. Akhirnya w buat di kantor pajak langsung and than jadinya CUMA 5 MENIT NJIR KEK NGAPAIN GW BUAT DI WEB KLO GITU!","1967916925503324573","","","in","","0","0","0","https://x.com/undefined/status/1967916925503324573","1379742389208637441",
